personID,status,time
ID 0,entered,1558106599.190968
ID 0,entered,1558106603.769465
ID 0,entered,1558106603.8621361
ID 0,entered,1558106603.931544
ID 0,entered,1558106604.0081449
ID 0,entered,1558106604.132412
ID 0,entered,1558106604.261729
ID 0,entered,1558106604.3453922
ID 0,entered,1558106604.419368
ID 0,entered,1558106604.492534
ID 0,entered,1558106604.609157
ID 0,entered,1558106604.6911302
ID 0,entered,1558106604.764079
ID 0,entered,1558106604.835434
ID 0,entered,1558106604.908409
ID 0,entered,1558106604.9822998
ID 0,entered,1558106605.0572171
ID 0,entered,1558106605.134016
ID 0,entered,1558106605.241348
ID 0,entered,1558106605.3096771
ID 0,entered,1558106605.400146
ID 0,entered,1558106605.481728
ID 0,entered,1558106605.575986
ID 0,entered,1558106605.646393
ID 0,entered,1558106605.729325
ID 0,entered,1558106605.809045
ID 0,entered,1558106605.8887
ID 0,entered,1558106605.971276
ID 0,entered,1558106606.047373
ID 0,entered,1558106606.12039
ID 0,entered,1558106606.204866
ID 0,entered,1558106606.291371
ID 0,entered,1558106606.360668
ID 0,entered,1558106606.435379
ID 0,entered,1558106606.5125241
ID 0,entered,1558106606.5849001
ID 0,entered,1558106606.672808
ID 0,entered,1558106606.7460392
ID 0,entered,1558106606.824991
ID 0,entered,1558106606.901558
ID 0,entered,1558106606.9699788
ID 1,entered,1558106606.97015
ID 0,entered,1558106607.05267
ID 1,entered,1558106607.0528462
ID 0,entered,1558106607.127394
ID 1,entered,1558106607.127625
ID 0,entered,1558106607.193536
ID 1,entered,1558106607.1936798
ID 0,entered,1558106607.262363
ID 1,entered,1558106607.262499
ID 0,entered,1558106607.337544
ID 1,entered,1558106607.337721
ID 0,entered,1558106607.422932
ID 1,entered,1558106607.42313
ID 0,entered,1558106607.493645
ID 1,entered,1558106607.493819
ID 0,entered,1558106607.578641
ID 1,entered,1558106607.57883
ID 0,entered,1558106607.658439
ID 1,entered,1558106607.6586292
ID 0,entered,1558106607.7569659
ID 1,entered,1558106607.757099
ID 0,entered,1558106607.82356
ID 1,entered,1558106607.823754
ID 0,entered,1558106607.897063
ID 1,entered,1558106607.8973272
ID 0,entered,1558106607.982613
ID 1,entered,1558106607.982757
ID 0,entered,1558106608.095775
ID 1,entered,1558106608.0959811
ID 0,entered,1558106608.1717172
ID 1,entered,1558106608.17185
ID 0,entered,1558106608.264489
ID 1,entered,1558106608.2647018
ID 0,entered,1558106608.3382778
ID 1,entered,1558106608.338464
ID 0,entered,1558106608.415553
ID 1,entered,1558106608.415688
ID 0,entered,1558106608.482728
ID 1,entered,1558106608.48286
ID 0,entered,1558106608.558631
ID 1,entered,1558106608.558868
ID 0,entered,1558106608.62941
ID 1,entered,1558106608.629614
ID 0,entered,1558106608.702754
ID 1,entered,1558106608.702973
ID 0,entered,1558106608.770883
ID 1,entered,1558106608.7710888
ID 0,entered,1558106608.8380458
ID 1,entered,1558106608.838227
